DrugBank_ID,Drug_Name,Formula,Frequency,Mean_Energy,Best_Energy,Mean_Rank,Files_Found
DB00288,Amcinonide,C28H35FO7,1,-9,-9,56,EM1
DB06718,Stanozolol,C21H32N2O,1,-9,-9,53,EM3
DB00408,Loxapine,C18H18ClN3O,1,-8.9,-8.9,39,M3
DB00481,Raloxifene,C28H27NO4S,1,-8.9,-8.9,24,M2
DB00950,Fexofenadine,C32H39NO4,1,-8.9,-8.9,37,M5
DB13944,Testosterone enanthate,C26H40O3,1,-8.9,-8.9,67,EM2
DB14840,Ripretinib,C24H21BrFN5O2,1,-8.9,-8.9,25,M2
DB00434,Cyproheptadine,C21H21N,1,-8.8,-8.8,32,M2
DB00699,Nicergoline,C24H26BrN3O3,1,-8.8,-8.8,82,EM1
DB00757,Dolasetron,C19H20N2O3,1,-8.8,-8.8,75,EM2
DB00973,Ezetimibe,C24H21F2NO3,1,-8.8,-8.8,45,M5
DB01047,Fluocinonide,C26H32F2O7,1,-8.8,-8.8,88,EM1
DB01259,Lapatinib,C29H26ClFN4O4S,1,-8.8,-8.8,79,EM2
DB08973,Fluclorolone acetonide,C24H29Cl2FO5,1,-8.8,-8.8,74,EM2
DB00303,Ertapenem,C22H25N3O7S,1,-8.7,-8.7,53,M4
DB00398,Sorafenib,C21H16ClF3N4O3,1,-8.7,-8.7,55,M5
DB01357,Mestranol,C21H26O2,1,-8.7,-8.7,94,EM3
DB01591,Solifenacin,C23H26N2O2,1,-8.7,-8.7,95,EM1
DB04038,Ergosterol,C28H44O,1,-8.7,-8.7,93,EM1
DB06766,Alcaftadine,C19H21N3O,1,-8.7,-8.7,90,EM2
DB07776,Flavone,C15H10O2,1,-8.7,-8.7,91,EM2
DB08827,Lomitapide,C39H37F6N3O2,1,-8.7,-8.7,86,EM2
DB11262,Bisoctrizole,C41H50N6O2,1,-8.6,-8.6,63,M4
DB00342,Terfenadine,C32H41NO2,1,-8.5,-8.5,84,M4
DB09078,Lenvatinib,C21H19ClN4O4,1,-8.5,-8.5,66,M2
DB00276,Amsacrine,C21H19N3O3S,1,-8.4,-8.4,74,M2
DB00948,Mezlocillin,C21H25N5O8S2,1,-8.4,-8.4,94,M1
DB11979,Elagolix,C32H30F5N3O5,1,-8.4,-8.4,98,EM3
DB12808,Trifarotene,C29H33NO4,1,-8.4,-8.4,80,M2
DB00324,Fluorometholone,C22H29FO4,1,-8.3,-8.3,83,M2
DB05239,Cobimetinib,C21H21F3IN3O2,1,-8.3,-8.3,93,M3
DB08950,Indoramin,C22H25N3O,1,-8.3,-8.3,91,M2
DB09042,Tedizolid phosphate,C17H16FN6O6P,1,-8.3,-8.3,92,M2
DB09080,Olodaterol,C21H26N2O5,1,-8.3,-8.3,92,M3
DB06827,Viomycin,C25H43N13O10,1,-8.2,-8.2,97,M1
DB08896,Regorafenib,C21H15ClF4N4O3,1,-8.2,-8.2,95,M2
DB12095,Telotristat ethyl,C27H26ClF3N6O3,1,-8.2,-8.2,95,M3
DB08865,Crizotinib,C21H22Cl2FN5O,1,-8.1,-8.1,96,M2
DB04930,Permethrin,C21H20Cl2O3,1,-7.9,-7.9,97,M3
DB06401,Bazedoxifene,C30H34N2O3,1,-7.9,-7.9,98,M5
DB06412,Oxymetholone,C21H32O3,1,-7.8,-7.8,99,EM1
DB08901,Ponatinib,C29H27F3N6O,1,-7.8,-7.8,97,M2
DB00762,Irinotecan,C33H38N4O6,1,-7.7,-7.7,100,EM2
DB00549,Zafirlukast,C31H33N3O6S,1,-7.5,-7.5,100,M3
DB14019,Fosnetupitant,C31H35F6N4O5P,1,-7.3,-7.3,99,M2
DB05521,Telaprevir,C36H53N7O6,1,-6.9,-6.9,100,M2
